,Numerical ID,Model name,Value
0,LRG1,LRGF1L6P3S1A,"[[471  22]
 [ 29 404]]"
1,LRG2,LRGF1L6P3S1B,"[[471  22]
 [ 29 404]]"
2,LRG3,LRGF1L6P3S2A,"[[470  23]
 [ 29 404]]"
3,LRG4,LRGF1L6P3S2B,"[[470  23]
 [ 29 404]]"
4,LRG5,LRGF1L6P3S3A,"[[468  25]
 [ 28 405]]"
5,LRG6,LRGF1L6P3S3B,"[[468  25]
 [ 28 405]]"
6,LRG7,LRGF1L6P3S4A,"[[468  25]
 [ 26 407]]"
7,LRG8,LRGF1L6P3S4B,"[[468  25]
 [ 26 407]]"
8,LRG9,LRGF1L6P3S5A,"[[469  24]
 [ 25 408]]"
9,LRG10,LRGF1L6P3S5B,"[[469  24]
 [ 25 408]]"
10,LRG11,LRGF1L6P5S1A,"[[699  37]
 [ 39 614]]"
11,LRG12,LRGF1L6P5S1B,"[[699  37]
 [ 39 614]]"
12,LRG13,LRGF1L6P5S2A,"[[699  37]
 [ 39 614]]"
13,LRG14,LRGF1L6P5S2B,"[[699  37]
 [ 39 614]]"
14,LRG15,LRGF1L6P5S3A,"[[696  40]
 [ 39 614]]"
15,LRG16,LRGF1L6P5S3B,"[[696  40]
 [ 39 614]]"
16,LRG17,LRGF1L6P5S4A,"[[696  40]
 [ 35 618]]"
17,LRG18,LRGF1L6P5S4B,"[[696  40]
 [ 35 618]]"
18,LRG19,LRGF1L6P5S5A,"[[693  43]
 [ 36 617]]"
19,LRG20,LRGF1L6P5S5B,"[[694  42]
 [ 37 616]]"
20,LRG21,LRGF2L6P3S1A,"[[465  28]
 [ 30 403]]"
21,LRG22,LRGF2L6P3S1B,"[[465  28]
 [ 31 402]]"
22,LRG23,LRGF2L6P3S2A,"[[465  28]
 [ 30 403]]"
23,LRG24,LRGF2L6P3S2B,"[[465  28]
 [ 31 402]]"
24,LRG25,LRGF2L6P3S3A,"[[465  28]
 [ 29 404]]"
25,LRG26,LRGF2L6P3S3B,"[[465  28]
 [ 30 403]]"
26,LRG27,LRGF2L6P3S4A,"[[467  26]
 [ 29 404]]"
27,LRG28,LRGF2L6P3S4B,"[[467  26]
 [ 29 404]]"
28,LRG29,LRGF2L6P3S5A,"[[466  27]
 [ 29 404]]"
29,LRG30,LRGF2L6P3S5B,"[[466  27]
 [ 29 404]]"
30,LRG31,LRGF2L6P5S1A,"[[692  44]
 [ 42 611]]"
31,LRG32,LRGF2L6P5S1B,"[[692  44]
 [ 42 611]]"
32,LRG33,LRGF2L6P5S2A,"[[691  45]
 [ 42 611]]"
33,LRG34,LRGF2L6P5S2B,"[[692  44]
 [ 44 609]]"
