,Numerical ID,Model name,Value
0,SVM1,SVMF1L6P3K1A,"[[461  32]
 [ 30 403]]"
1,SVM2,SVMF1L6P3K1B,"[[461  32]
 [ 32 401]]"
2,SVM3,SVMF1L6P3K2A,"[[492   1]
 [ 76 357]]"
3,SVM4,SVMF1L6P3K2B,"[[492   1]
 [ 80 353]]"
4,SVM5,SVMF1L6P3K3A,"[[485   8]
 [ 36 397]]"
5,SVM6,SVMF1L6P3K3B,"[[485   8]
 [ 36 397]]"
6,SVM7,SVMF1L6P3K4A,"[[473  20]
 [ 38 395]]"
7,SVM8,SVMF1L6P3K4B,"[[474  19]
 [ 38 395]]"
8,SVM9,SVMF1L6P5K1A,"[[685  51]
 [ 46 607]]"
9,SVM10,SVMF1L6P5K1B,"[[688  48]
 [ 47 606]]"
10,SVM11,SVMF1L6P5K2A,"[[735   1]
 [121 532]]"
11,SVM12,SVMF1L6P5K2B,"[[735   1]
 [124 529]]"
12,SVM13,SVMF1L6P5K3A,"[[720  16]
 [ 51 602]]"
13,SVM14,SVMF1L6P5K3B,"[[722  14]
 [ 51 602]]"
14,SVM15,SVMF1L6P5K4A,"[[692  44]
 [ 48 605]]"
15,SVM16,SVMF1L6P5K4B,"[[698  38]
 [ 52 601]]"
16,SVM17,SVMF2L6P3K1A,"[[463  30]
 [ 28 405]]"
17,SVM18,SVMF2L6P3K1B,"[[463  30]
 [ 31 402]]"
18,SVM19,SVMF2L6P3K2A,"[[492   1]
 [ 98 335]]"
19,SVM20,SVMF2L6P3K2B,"[[492   1]
 [100 333]]"
20,SVM21,SVMF2L6P3K3A,"[[486   7]
 [ 33 400]]"
21,SVM22,SVMF2L6P3K3B,"[[486   7]
 [ 34 399]]"
22,SVM23,SVMF2L6P3K4A,"[[464  29]
 [ 45 388]]"
23,SVM24,SVMF2L6P3K4B,"[[466  27]
 [ 44 389]]"
24,SVM25,SVMF2L6P5K1A,"[[683  53]
 [ 48 605]]"
25,SVM26,SVMF2L6P5K1B,"[[688  48]
 [ 51 602]]"
26,SVM27,SVMF2L6P5K2A,"[[734   2]
 [149 504]]"
27,SVM28,SVMF2L6P5K2B,"[[734   2]
 [152 501]]"
28,SVM29,SVMF2L6P5K3A,"[[723  13]
 [ 51 602]]"
29,SVM30,SVMF2L6P5K3B,"[[723  13]
 [ 52 601]]"
30,SVM31,SVMF2L6P5K4A,"[[687  49]
 [ 60 593]]"
31,SVM32,SVMF2L6P5K4B,"[[691  45]
 [ 61 592]]"
32,SVM33,SVMF3L6P3K1A,"[[421  72]
 [ 49 384]]"
33,SVM34,SVMF3L6P3K1B,"[[424  69]
 [ 54 379]]"
34,SVM35,SVMF3L6P3K2A,"[[458  35]
 [ 27 406]]"
35,SVM36,SVMF3L6P3K2B,"[[461  32]
 [ 27 406]]"
36,SVM37,SVMF3L6P3K3A,"[[457  36]
 [ 29 404]]"
37,SVM38,SVMF3L6P3K3B,"[[459  34]
 [ 30 403]]"
38,SVM39,SVMF3L6P3K4A,"[[387 106]
 [114 319]]"
39,SVM40,SVMF3L6P3K4B,"[[384 109]
 [118 315]]"
40,SVM41,SVMF3L6P5K1A,"[[630 106]
 [ 71 582]]"
41,SVM42,SVMF3L6P5K1B,"[[633 103]
 [ 74 579]]"
42,SVM43,SVMF3L6P5K2A,"[[670  66]
 [ 39 614]]"
43,SVM44,SVMF3L6P5K2B,"[[678  58]
 [ 42 611]]"
44,SVM45,SVMF3L6P5K3A,"[[678  58]
 [ 35 618]]"
45,SVM46,SVMF3L6P5K3B,"[[679  57]
 [ 40 613]]"
46,SVM47,SVMF3L6P5K4A,"[[560 176]
 [155 498]]"
47,SVM48,SVMF3L6P5K4B,"[[560 176]
 [164 489]]"
48,SVM49,SVMF4L6P3K1A,"[[447  46]
 [ 34 399]]"
49,SVM50,SVMF4L6P3K1B,"[[447  46]
 [ 34 399]]"
50,SVM51,SVMF4L6P3K2A,"[[492   1]
 [315 118]]"
51,SVM52,SVMF4L6P3K2B,"[[493   0]
 [351  82]]"
52,SVM53,SVMF4L6P3K3A,"[[469  24]
 [ 71 362]]"
53,SVM54,SVMF4L6P3K3B,"[[469  24]
 [ 74 359]]"
54,SVM55,SVMF4L6P3K4A,"[[452  41]
 [ 63 370]]"
55,SVM56,SVMF4L6P3K4B,"[[451  42]
 [ 64 369]]"
56,SVM57,SVMF4L6P5K1A,"[[644  92]
 [ 54 599]]"
57,SVM58,SVMF4L6P5K1B,"[[646  90]
 [ 52 601]]"
58,SVM59,SVMF4L6P5K2A,"[[734   2]
 [473 180]]"
59,SVM60,SVMF4L6P5K2B,"[[735   1]
 [540 113]]"
60,SVM61,SVMF4L6P5K3A,"[[694  42]
 [104 549]]"
61,SVM62,SVMF4L6P5K3B,"[[694  42]
 [105 548]]"
62,SVM63,SVMF4L6P5K4A,"[[669  67]
 [ 89 564]]"
63,SVM64,SVMF4L6P5K4B,"[[673  63]
 [ 95 558]]"
