,Numerical ID,Model name,Value
0,SVM1,SVMF1L6P3K1A,0.93
1,SVM2,SVMF1L6P3K1B,0.93
2,SVM3,SVMF1L6P3K2A,0.9
3,SVM4,SVMF1L6P3K2B,0.9
4,SVM5,SVMF1L6P3K3A,0.95
5,SVM6,SVMF1L6P3K3B,0.95
6,SVM7,SVMF1L6P3K4A,0.93
7,SVM8,SVMF1L6P3K4B,0.93
8,SVM9,SVMF1L6P5K1A,0.93
9,SVM10,SVMF1L6P5K1B,0.93
10,SVM11,SVMF1L6P5K2A,0.9
11,SVM12,SVMF1L6P5K2B,0.89
12,SVM13,SVMF1L6P5K3A,0.95
13,SVM14,SVMF1L6P5K3B,0.95
14,SVM15,SVMF1L6P5K4A,0.93
15,SVM16,SVMF1L6P5K4B,0.93
16,SVM17,SVMF2L6P3K1A,0.93
17,SVM18,SVMF2L6P3K1B,0.93
18,SVM19,SVMF2L6P3K2A,0.87
19,SVM20,SVMF2L6P3K2B,0.87
20,SVM21,SVMF2L6P3K3A,0.95
21,SVM22,SVMF2L6P3K3B,0.95
22,SVM23,SVMF2L6P3K4A,0.91
23,SVM24,SVMF2L6P3K4B,0.92
24,SVM25,SVMF2L6P5K1A,0.92
25,SVM26,SVMF2L6P5K1B,0.92
26,SVM27,SVMF2L6P5K2A,0.87
27,SVM28,SVMF2L6P5K2B,0.87
28,SVM29,SVMF2L6P5K3A,0.95
29,SVM30,SVMF2L6P5K3B,0.95
30,SVM31,SVMF2L6P5K4A,0.92
31,SVM32,SVMF2L6P5K4B,0.92
32,SVM33,SVMF3L6P3K1A,0.86
33,SVM34,SVMF3L6P3K1B,0.86
34,SVM35,SVMF3L6P3K2A,0.93
35,SVM36,SVMF3L6P3K2B,0.93
36,SVM37,SVMF3L6P3K3A,0.93
37,SVM38,SVMF3L6P3K3B,0.93
38,SVM39,SVMF3L6P3K4A,0.74
39,SVM40,SVMF3L6P3K4B,0.74
40,SVM41,SVMF3L6P5K1A,0.87
41,SVM42,SVMF3L6P5K1B,0.87
42,SVM43,SVMF3L6P5K2A,0.92
43,SVM44,SVMF3L6P5K2B,0.92
44,SVM45,SVMF3L6P5K3A,0.93
45,SVM46,SVMF3L6P5K3B,0.93
46,SVM47,SVMF3L6P5K4A,0.75
47,SVM48,SVMF3L6P5K4B,0.74
48,SVM49,SVMF4L6P3K1A,0.91
49,SVM50,SVMF4L6P3K1B,0.91
50,SVM51,SVMF4L6P3K2A,0.43
51,SVM52,SVMF4L6P3K2B,0.32
52,SVM53,SVMF4L6P3K3A,0.88
53,SVM54,SVMF4L6P3K3B,0.88
54,SVM55,SVMF4L6P3K4A,0.88
55,SVM56,SVMF4L6P3K4B,0.87
56,SVM57,SVMF4L6P5K1A,0.89
57,SVM58,SVMF4L6P5K1B,0.89
58,SVM59,SVMF4L6P5K2A,0.43
59,SVM60,SVMF4L6P5K2B,0.29
60,SVM61,SVMF4L6P5K3A,0.88
61,SVM62,SVMF4L6P5K3B,0.88
62,SVM63,SVMF4L6P5K4A,0.88
63,SVM64,SVMF4L6P5K4B,0.88
