,Accuracy,Balanced Accuracy,Precision,F1,Recall,Confusion matrix
LRG1,0.94,0.94,0.95,0.94,0.93,"[[471  22]
 [ 29 404]]"
LRG2,0.94,0.94,0.95,0.94,0.93,"[[471  22]
 [ 29 404]]"
LRG3,0.94,0.94,0.95,0.94,0.93,"[[470  23]
 [ 29 404]]"
LRG4,0.94,0.94,0.95,0.94,0.93,"[[470  23]
 [ 29 404]]"
LRG5,0.94,0.94,0.94,0.94,0.94,"[[468  25]
 [ 28 405]]"
LRG6,0.94,0.94,0.94,0.94,0.94,"[[468  25]
 [ 28 405]]"
LRG7,0.94,0.94,0.94,0.94,0.94,"[[468  25]
 [ 26 407]]"
LRG8,0.94,0.94,0.94,0.94,0.94,"[[468  25]
 [ 26 407]]"
LRG9,0.95,0.95,0.94,0.94,0.94,"[[469  24]
 [ 25 408]]"
LRG10,0.95,0.95,0.94,0.94,0.94,"[[469  24]
 [ 25 408]]"
LRG11,0.95,0.95,0.94,0.94,0.94,"[[699  37]
 [ 39 614]]"
LRG12,0.95,0.95,0.94,0.94,0.94,"[[699  37]
 [ 39 614]]"
LRG13,0.95,0.95,0.94,0.94,0.94,"[[699  37]
 [ 39 614]]"
LRG14,0.95,0.95,0.94,0.94,0.94,"[[699  37]
 [ 39 614]]"
LRG15,0.94,0.94,0.94,0.94,0.94,"[[696  40]
 [ 39 614]]"
LRG16,0.94,0.94,0.94,0.94,0.94,"[[696  40]
 [ 39 614]]"
LRG17,0.95,0.95,0.94,0.94,0.95,"[[696  40]
 [ 35 618]]"
LRG18,0.95,0.95,0.94,0.94,0.95,"[[696  40]
 [ 35 618]]"
LRG19,0.94,0.94,0.93,0.94,0.94,"[[693  43]
 [ 36 617]]"
LRG20,0.94,0.94,0.94,0.94,0.94,"[[694  42]
 [ 37 616]]"
LRG21,0.94,0.94,0.94,0.93,0.93,"[[465  28]
 [ 30 403]]"
LRG22,0.94,0.94,0.93,0.93,0.93,"[[465  28]
 [ 31 402]]"
LRG23,0.94,0.94,0.94,0.93,0.93,"[[465  28]
 [ 30 403]]"
LRG24,0.94,0.94,0.93,0.93,0.93,"[[465  28]
 [ 31 402]]"
LRG25,0.94,0.94,0.94,0.93,0.93,"[[465  28]
 [ 29 404]]"
LRG26,0.94,0.94,0.94,0.93,0.93,"[[465  28]
 [ 30 403]]"
LRG27,0.94,0.94,0.94,0.94,0.93,"[[467  26]
 [ 29 404]]"
LRG28,0.94,0.94,0.94,0.94,0.93,"[[467  26]
 [ 29 404]]"
LRG29,0.94,0.94,0.94,0.94,0.93,"[[466  27]
 [ 29 404]]"
LRG30,0.94,0.94,0.94,0.94,0.93,"[[466  27]
 [ 29 404]]"
LRG31,0.94,0.94,0.93,0.93,0.94,"[[692  44]
 [ 42 611]]"
LRG32,0.94,0.94,0.93,0.93,0.94,"[[692  44]
 [ 42 611]]"
LRG33,0.94,0.94,0.93,0.93,0.94,"[[691  45]
 [ 42 611]]"
LRG34,0.94,0.94,0.93,0.93,0.93,"[[692  44]
 [ 44 609]]"
LRG35,0.94,0.94,0.93,0.93,0.94,"[[688  48]
 [ 42 611]]"
LRG36,0.94,0.94,0.93,0.93,0.94,"[[689  47]
 [ 42 611]]"
LRG37,0.93,0.93,0.92,0.93,0.93,"[[686  50]
 [ 45 608]]"
LRG38,0.93,0.93,0.92,0.93,0.93,"[[686  50]
 [ 45 608]]"
LRG39,0.93,0.93,0.92,0.93,0.93,"[[686  50]
 [ 44 609]]"
LRG40,0.93,0.93,0.92,0.93,0.93,"[[686  50]
 [ 44 609]]"
LRG41,0.87,0.87,0.85,0.86,0.87,"[[425  68]
 [ 55 378]]"
LRG42,0.87,0.87,0.85,0.86,0.87,"[[425  68]
 [ 56 377]]"
LRG43,0.87,0.87,0.85,0.86,0.87,"[[425  68]
 [ 55 378]]"
LRG44,0.87,0.87,0.85,0.86,0.87,"[[425  68]
 [ 56 377]]"
LRG45,0.87,0.87,0.85,0.86,0.87,"[[424  69]
 [ 55 378]]"
LRG46,0.87,0.87,0.85,0.86,0.87,"[[425  68]
 [ 56 377]]"
LRG47,0.87,0.87,0.85,0.86,0.87,"[[424  69]
 [ 56 377]]"
LRG48,0.87,0.87,0.85,0.86,0.87,"[[426  67]
 [ 57 376]]"
LRG49,0.86,0.86,0.84,0.86,0.87,"[[422  71]
 [ 55 378]]"
LRG50,0.86,0.86,0.84,0.86,0.87,"[[423  70]
 [ 56 377]]"
LRG51,0.87,0.87,0.85,0.86,0.87,"[[636 100]
 [ 84 569]]"
LRG52,0.87,0.87,0.85,0.86,0.87,"[[638  98]
 [ 87 566]]"
LRG53,0.87,0.87,0.85,0.86,0.87,"[[635 101]
 [ 84 569]]"
LRG54,0.87,0.87,0.85,0.86,0.87,"[[638  98]
 [ 87 566]]"
LRG55,0.87,0.87,0.85,0.86,0.87,"[[635 101]
 [ 84 569]]"
LRG56,0.87,0.87,0.85,0.86,0.87,"[[638  98]
 [ 87 566]]"
LRG57,0.87,0.87,0.85,0.86,0.87,"[[634 102]
 [ 83 570]]"
LRG58,0.87,0.87,0.85,0.86,0.87,"[[635 101]
 [ 86 567]]"
LRG59,0.87,0.87,0.85,0.86,0.87,"[[633 103]
 [ 82 571]]"
LRG60,0.86,0.86,0.85,0.86,0.87,"[[633 103]
 [ 85 568]]"
LRG61,0.93,0.93,0.92,0.93,0.94,"[[457  36]
 [ 28 405]]"
LRG62,0.93,0.93,0.92,0.93,0.94,"[[457  36]
 [ 28 405]]"
LRG63,0.93,0.93,0.92,0.92,0.93,"[[456  37]
 [ 29 404]]"
LRG64,0.93,0.93,0.92,0.93,0.93,"[[457  36]
 [ 29 404]]"
LRG65,0.93,0.93,0.91,0.92,0.94,"[[455  38]
 [ 28 405]]"
LRG66,0.93,0.93,0.91,0.92,0.94,"[[455  38]
 [ 28 405]]"
LRG67,0.87,0.86,0.87,0.85,0.83,"[[441  52]
 [ 72 361]]"
LRG68,0.87,0.87,0.88,0.86,0.83,"[[445  48]
 [ 72 361]]"
LRG69,0.86,0.85,0.87,0.84,0.82,"[[438  55]
 [ 78 355]]"
LRG70,0.86,0.85,0.86,0.84,0.82,"[[437  56]
 [ 78 355]]"
LRG71,0.92,0.92,0.9,0.92,0.94,"[[665  71]
 [ 41 612]]"
LRG72,0.92,0.92,0.9,0.92,0.94,"[[665  71]
 [ 42 611]]"
LRG73,0.92,0.92,0.89,0.92,0.94,"[[664  72]
 [ 41 612]]"
LRG74,0.92,0.92,0.89,0.92,0.94,"[[664  72]
 [ 40 613]]"
LRG75,0.92,0.92,0.89,0.91,0.94,"[[662  74]
 [ 41 612]]"
LRG76,0.92,0.92,0.89,0.91,0.94,"[[662  74]
 [ 42 611]]"
LRG77,0.87,0.87,0.87,0.86,0.85,"[[655  81]
 [100 553]]"
LRG78,0.87,0.87,0.88,0.86,0.85,"[[658  78]
 [101 552]]"
LRG79,0.86,0.86,0.87,0.85,0.83,"[[654  82]
 [113 540]]"
LRG80,0.86,0.86,0.87,0.85,0.83,"[[656  80]
 [113 540]]"
