,Numerical ID,Model name,Value
0,SVM1,SVMF1L6P3K1A,0.93
1,SVM2,SVMF1L6P3K1B,0.93
2,SVM3,SVMF1L6P3K2A,0.9972067039106145
3,SVM4,SVMF1L6P3K2B,0.9971751412429378
4,SVM5,SVMF1L6P3K3A,0.980246913580247
5,SVM6,SVMF1L6P3K3B,0.980246913580247
6,SVM7,SVMF1L6P3K4A,0.9518072289156626
7,SVM8,SVMF1L6P3K4B,0.9541062801932367
8,SVM9,SVMF1L6P5K1A,0.92
9,SVM10,SVMF1L6P5K1B,0.93
10,SVM11,SVMF1L6P5K2A,0.99812382739212
11,SVM12,SVMF1L6P5K2B,0.9981132075471698
12,SVM13,SVMF1L6P5K3A,0.9741100323624595
13,SVM14,SVMF1L6P5K3B,0.9772727272727273
14,SVM15,SVMF1L6P5K4A,0.9322033898305084
15,SVM16,SVMF1L6P5K4B,0.9405320813771518
16,SVM17,SVMF2L6P3K1A,0.93
17,SVM18,SVMF2L6P3K1B,0.93
18,SVM19,SVMF2L6P3K2A,0.9970238095238095
19,SVM20,SVMF2L6P3K2B,0.9970059880239521
20,SVM21,SVMF2L6P3K3A,0.9828009828009828
21,SVM22,SVMF2L6P3K3B,0.9827586206896551
22,SVM23,SVMF2L6P3K4A,0.9304556354916067
23,SVM24,SVMF2L6P3K4B,0.9350961538461539
24,SVM25,SVMF2L6P5K1A,0.92
25,SVM26,SVMF2L6P5K1B,0.93
26,SVM27,SVMF2L6P5K2A,0.9960474308300395
27,SVM28,SVMF2L6P5K2B,0.9960238568588469
28,SVM29,SVMF2L6P5K3A,0.9788617886178862
29,SVM30,SVMF2L6P5K3B,0.9788273615635179
30,SVM31,SVMF2L6P5K4A,0.9236760124610592
31,SVM32,SVMF2L6P5K4B,0.9293563579277865
32,SVM33,SVMF3L6P3K1A,0.84
33,SVM34,SVMF3L6P3K1B,0.85
34,SVM35,SVMF3L6P3K2A,0.9206349206349206
35,SVM36,SVMF3L6P3K2B,0.9269406392694064
36,SVM37,SVMF3L6P3K3A,0.9181818181818182
37,SVM38,SVMF3L6P3K3B,0.9221967963386728
38,SVM39,SVMF3L6P3K4A,0.7505882352941177
39,SVM40,SVMF3L6P3K4B,0.7429245283018868
40,SVM41,SVMF3L6P5K1A,0.85
41,SVM42,SVMF3L6P5K1B,0.85
42,SVM43,SVMF3L6P5K2A,0.9029411764705882
43,SVM44,SVMF3L6P5K2B,0.9133034379671151
44,SVM45,SVMF3L6P5K3A,0.9142011834319527
45,SVM46,SVMF3L6P5K3B,0.9149253731343283
46,SVM47,SVMF3L6P5K4A,0.7388724035608308
47,SVM48,SVMF3L6P5K4B,0.7353383458646616
48,SVM49,SVMF4L6P3K1A,0.9
49,SVM50,SVMF4L6P3K1B,0.9
50,SVM51,SVMF4L6P3K2A,0.9915966386554622
51,SVM52,SVMF4L6P3K2B,1.0
52,SVM53,SVMF4L6P3K3A,0.9378238341968912
53,SVM54,SVMF4L6P3K3B,0.9373368146214099
54,SVM55,SVMF4L6P3K4A,0.9002433090024331
55,SVM56,SVMF4L6P3K4B,0.8978102189781022
56,SVM57,SVMF4L6P5K1A,0.87
57,SVM58,SVMF4L6P5K1B,0.87
58,SVM59,SVMF4L6P5K2A,0.989010989010989
59,SVM60,SVMF4L6P5K2B,0.9912280701754386
60,SVM61,SVMF4L6P5K3A,0.9289340101522843
61,SVM62,SVMF4L6P5K3B,0.9288135593220339
62,SVM63,SVMF4L6P5K4A,0.8938193343898574
63,SVM64,SVMF4L6P5K4B,0.8985507246376812
