,Numerical ID,Model name,Value
0,SVM1,SVMF1L6P3K1A,0.93
1,SVM2,SVMF1L6P3K1B,0.93
2,SVM3,SVMF1L6P3K2A,0.82
3,SVM4,SVMF1L6P3K2B,0.82
4,SVM5,SVMF1L6P3K3A,0.92
5,SVM6,SVMF1L6P3K3B,0.92
6,SVM7,SVMF1L6P3K4A,0.91
7,SVM8,SVMF1L6P3K4B,0.91
8,SVM9,SVMF1L6P5K1A,0.93
9,SVM10,SVMF1L6P5K1B,0.93
10,SVM11,SVMF1L6P5K2A,0.81
11,SVM12,SVMF1L6P5K2B,0.81
12,SVM13,SVMF1L6P5K3A,0.92
13,SVM14,SVMF1L6P5K3B,0.92
14,SVM15,SVMF1L6P5K4A,0.93
15,SVM16,SVMF1L6P5K4B,0.92
16,SVM17,SVMF2L6P3K1A,0.94
17,SVM18,SVMF2L6P3K1B,0.93
18,SVM19,SVMF2L6P3K2A,0.77
19,SVM20,SVMF2L6P3K2B,0.77
20,SVM21,SVMF2L6P3K3A,0.92
21,SVM22,SVMF2L6P3K3B,0.92
22,SVM23,SVMF2L6P3K4A,0.9
23,SVM24,SVMF2L6P3K4B,0.9
24,SVM25,SVMF2L6P5K1A,0.93
25,SVM26,SVMF2L6P5K1B,0.92
26,SVM27,SVMF2L6P5K2A,0.77
27,SVM28,SVMF2L6P5K2B,0.77
28,SVM29,SVMF2L6P5K3A,0.92
29,SVM30,SVMF2L6P5K3B,0.92
30,SVM31,SVMF2L6P5K4A,0.91
31,SVM32,SVMF2L6P5K4B,0.91
32,SVM33,SVMF3L6P3K1A,0.89
33,SVM34,SVMF3L6P3K1B,0.88
34,SVM35,SVMF3L6P3K2A,0.94
35,SVM36,SVMF3L6P3K2B,0.94
36,SVM37,SVMF3L6P3K3A,0.93
37,SVM38,SVMF3L6P3K3B,0.93
38,SVM39,SVMF3L6P3K4A,0.74
39,SVM40,SVMF3L6P3K4B,0.73
40,SVM41,SVMF3L6P5K1A,0.89
41,SVM42,SVMF3L6P5K1B,0.89
42,SVM43,SVMF3L6P5K2A,0.94
43,SVM44,SVMF3L6P5K2B,0.94
44,SVM45,SVMF3L6P5K3A,0.95
45,SVM46,SVMF3L6P5K3B,0.94
46,SVM47,SVMF3L6P5K4A,0.76
47,SVM48,SVMF3L6P5K4B,0.75
48,SVM49,SVMF4L6P3K1A,0.92
49,SVM50,SVMF4L6P3K1B,0.92
50,SVM51,SVMF4L6P3K2A,0.27
51,SVM52,SVMF4L6P3K2B,0.19
52,SVM53,SVMF4L6P3K3A,0.84
53,SVM54,SVMF4L6P3K3B,0.83
54,SVM55,SVMF4L6P3K4A,0.85
55,SVM56,SVMF4L6P3K4B,0.85
56,SVM57,SVMF4L6P5K1A,0.92
57,SVM58,SVMF4L6P5K1B,0.92
58,SVM59,SVMF4L6P5K2A,0.28
59,SVM60,SVMF4L6P5K2B,0.17
60,SVM61,SVMF4L6P5K3A,0.84
61,SVM62,SVMF4L6P5K3B,0.84
62,SVM63,SVMF4L6P5K4A,0.86
63,SVM64,SVMF4L6P5K4B,0.85
