,value
Method,DT
Class weight,
Max depth,5
Libraries,PPI FDA
Test fraction,20.0
Descriptors,HallKierAlpha VSA_EState7 MinEStateIndex FractionCSP3 NumAromaticHeterocycles NumHAcceptors NumRotatableBonds NumRotatableBonds NumHeteroatoms HeavyAtomMolWt
feature_importance,"[0.63764649 0.00589108 0.04029382 0.00660539 0.01006376 0.16674235
 0.         0.         0.         0.1327571 ]"
Accuracy,0.82
Balanced Accuracy,0.82
Precision,0.82
F1,0.81
ROC AUC score,0.82
Confusion matrix,"[[415  78]
 [ 86 347]]"
