,value
Method,DT
Class weight,balanced
Max depth,5
Libraries,PPI FDA
Test fraction,30.0
Descriptors,HallKierAlpha VSA_EState7 MinEStateIndex FractionCSP3 NumAromaticHeterocycles NumHAcceptors NumRotatableBonds NumRotatableBonds NumHeteroatoms HeavyAtomMolWt
feature_importance,"[0.59213761 0.         0.04979528 0.03423712 0.0092669  0.14563391
 0.00301082 0.         0.0189223  0.14699608]"
Accuracy,0.83
Balanced Accuracy,0.83
Precision,0.79
F1,0.82
ROC AUC score,0.83
Confusion matrix,"[[593 143]
 [ 99 554]]"
Recall,0.85
