,Descriptors,Coeff
1160,1160,0.7
1964,1964,0.53
736,736,0.47
1747,1747,0.46
202,202,0.46
637,637,0.39
935,935,0.39
160,160,0.37
1920,1920,0.37
1088,1088,0.35
875,875,0.35
725,725,0.34
1416,1416,0.33
1803,1803,0.32
2009,2009,0.31
561,561,0.3
1279,1279,0.3
992,992,0.3
597,597,0.29
1984,1984,0.28
132,132,0.28
1683,1683,0.28
1070,1070,0.28
1955,1955,0.27
889,889,0.27
906,906,0.27
1750,1750,0.27
795,795,0.27
1146,1146,0.26
1199,1199,0.25
1743,1743,0.25
1873,1873,0.25
925,925,0.25
1637,1637,0.24
191,191,0.24
400,400,0.24
1691,1691,0.24
931,931,0.24
399,399,0.23
806,806,0.23
1061,1061,0.23
1817,1817,0.23
945,945,0.23
1390,1390,0.23
609,609,0.23
1000,1000,0.23
573,573,0.23
1661,1661,0.22
475,475,0.22
504,504,0.22
162,162,0.22
582,582,0.22
1155,1155,0.22
1867,1867,0.22
289,289,0.22
216,216,0.21
92,92,0.21
860,860,0.21
384,384,0.21
271,271,0.21
465,465,0.21
1068,1068,0.21
1907,1907,0.21
310,310,0.21
1896,1896,0.21
1499,1499,0.21
648,648,0.21
1610,1610,0.21
1546,1546,0.21
542,542,0.21
488,488,0.2
1352,1352,0.2
250,250,0.2
1617,1617,0.2
480,480,0.2
1227,1227,0.2
2044,2044,0.2
1062,1062,0.2
1574,1574,0.2
1093,1093,0.2
1978,1978,0.2
1712,1712,0.19
1680,1680,0.19
1285,1285,0.19
1954,1954,0.19
1263,1263,0.19
1192,1192,0.19
887,887,0.19
86,86,0.19
1172,1172,0.19
11,11,0.19
1504,1504,0.19
1912,1912,0.19
1879,1879,0.19
728,728,0.18
369,369,0.18
1235,1235,0.18
1361,1361,0.18
242,242,0.18
1437,1437,0.18
1114,1114,0.18
1380,1380,0.18
1381,1381,0.18
1152,1152,0.18
1307,1307,0.18
1473,1473,0.18
36,36,0.18
1583,1583,0.18
743,743,0.18
1518,1518,0.18
864,864,0.18
1756,1756,0.18
25,25,0.17
1686,1686,0.17
750,750,0.17
1435,1435,0.17
1669,1669,0.17
1765,1765,0.17
1044,1044,0.17
734,734,0.17
76,76,0.17
997,997,0.17
58,58,0.17
1754,1754,0.17
1295,1295,0.17
1694,1694,0.17
267,267,0.17
378,378,0.17
689,689,0.17
1469,1469,0.17
1334,1334,0.17
376,376,0.17
377,377,0.17
1206,1206,0.17
10,10,0.17
1253,1253,0.16
2039,2039,0.16
1153,1153,0.16
430,430,0.16
1779,1779,0.16
1774,1774,0.16
1310,1310,0.16
1033,1033,0.16
1063,1063,0.16
655,655,0.16
69,69,0.16
1249,1249,0.16
816,816,0.16
91,91,0.16
1704,1704,0.16
1429,1429,0.16
909,909,0.16
879,879,0.16
281,281,0.16
1692,1692,0.16
731,731,0.16
129,129,0.16
34,34,0.16
1825,1825,0.16
709,709,0.16
1486,1486,0.16
989,989,0.16
901,901,0.15
661,661,0.15
1634,1634,0.15
558,558,0.15
1596,1596,0.15
799,799,0.15
647,647,0.15
472,472,0.15
1245,1245,0.15
336,336,0.15
732,732,0.15
1454,1454,0.15
924,924,0.15
936,936,0.15
1894,1894,0.15
1623,1623,0.15
598,598,0.15
964,964,0.15
526,526,0.15
1009,1009,0.15
1335,1335,0.15
324,324,0.15
1936,1936,0.15
155,155,0.15
2010,2010,0.15
117,117,0.15
1301,1301,0.15
154,154,0.15
1131,1131,0.15
1993,1993,0.15
1181,1181,0.15
1127,1127,0.15
156,156,0.15
1468,1468,0.14
226,226,0.14
1980,1980,0.14
1291,1291,0.14
108,108,0.14
66,66,0.14
1594,1594,0.14
1990,1990,0.14
83,83,0.14
1006,1006,0.14
1584,1584,0.14
848,848,0.14
1659,1659,0.14
416,416,0.14
1442,1442,0.14
586,586,0.14
793,793,0.14
1631,1631,0.14
412,412,0.14
531,531,0.14
1074,1074,0.14
2003,2003,0.14
1799,1799,0.14
535,535,0.14
590,590,0.14
1748,1748,0.14
984,984,0.14
980,980,0.13
1833,1833,0.13
800,800,0.13
1731,1731,0.13
511,511,0.13
559,559,0.13
497,497,0.13
957,957,0.13
38,38,0.13
570,570,0.13
851,851,0.13
1016,1016,0.13
993,993,0.13
490,490,0.13
1445,1445,0.13
295,295,0.13
574,574,0.13
1530,1530,0.13
1939,1939,0.13
1147,1147,0.13
624,624,0.13
527,527,0.13
1917,1917,0.13
1916,1916,0.13
395,395,0.13
885,885,0.13
1185,1185,0.13
1931,1931,0.13
1647,1647,0.13
168,168,0.13
1056,1056,0.13
1359,1359,0.13
1427,1427,0.13
1755,1755,0.13
234,234,0.13
668,668,0.12
1262,1262,0.12
811,811,0.12
763,763,0.12
1675,1675,0.12
341,341,0.12
1363,1363,0.12
2008,2008,0.12
494,494,0.12
2011,2011,0.12
330,330,0.12
329,329,0.12
1718,1718,0.12
612,612,0.12
727,727,0.12
1411,1411,0.12
741,741,0.12
198,198,0.12
1234,1234,0.12
710,710,0.12
1323,1323,0.12
1432,1432,0.12
1945,1945,0.12
383,383,0.12
2000,2000,0.12
1052,1052,0.12
867,867,0.12
861,861,0.12
1620,1620,0.12
1270,1270,0.12
1264,1264,0.12
315,315,0.12
348,348,0.12
317,317,0.12
911,911,0.12
704,704,0.12
2031,2031,0.12
121,121,0.12
273,273,0.12
433,433,0.12
1914,1914,0.12
1589,1589,0.11
1586,1586,0.11
1800,1800,0.11
1281,1281,0.11
328,328,0.11
1688,1688,0.11
1198,1198,0.11
534,534,0.11
420,420,0.11
356,356,0.11
1702,1702,0.11
358,358,0.11
1141,1141,0.11
1821,1821,0.11
415,415,0.11
870,870,0.11
1960,1960,0.11
1953,1953,0.11
603,603,0.11
1671,1671,0.11
1527,1527,0.11
1014,1014,0.11
255,255,0.11
1887,1887,0.11
1025,1025,0.11
690,690,0.11
688,688,0.11
240,240,0.11
1901,1901,0.11
468,468,0.11
666,666,0.11
1233,1233,0.11
203,203,0.11
197,197,0.11
181,181,0.11
1918,1918,0.11
1251,1251,0.11
713,713,0.11
22,22,0.11
1676,1676,0.11
1405,1405,0.11
285,285,0.11
1852,1852,0.11
1854,1854,0.11
987,987,0.11
1734,1734,0.11
592,592,0.1
18,18,0.1
812,812,0.1
167,167,0.1
107,107,0.1
819,819,0.1
486,486,0.1
1678,1678,0.1
779,779,0.1
1413,1413,0.1
1231,1231,0.1
633,633,0.1
1776,1776,0.1
1982,1982,0.1
102,102,0.1
2002,2002,0.1
1418,1418,0.1
205,205,0.1
842,842,0.1
1929,1929,0.1
1159,1159,0.1
1928,1928,0.1
97,97,0.1
877,877,0.1
31,31,0.1
789,789,0.1
1247,1247,0.1
2023,2023,0.1
1607,1607,0.1
1533,1533,0.1
850,850,0.1
562,562,0.1
43,43,0.1
1399,1399,0.1
560,560,0.1
1868,1868,0.1
1511,1511,0.1
557,557,0.1
596,596,0.1
1870,1870,0.1
1455,1455,0.1
46,46,0.1
27,27,0.1
1555,1555,0.1
1004,1004,0.1
148,148,0.1
437,437,0.1
1697,1697,0.1
1667,1667,0.1
1848,1848,0.1
1856,1856,0.1
2033,2033,0.1
1439,1439,0.1
1745,1745,0.09
1735,1735,0.09
1520,1520,0.09
1501,1501,0.09
1180,1180,0.09
809,809,0.09
476,476,0.09
62,62,0.09
455,455,0.09
427,427,0.09
855,855,0.09
419,419,0.09
2005,2005,0.09
1715,1715,0.09
578,578,0.09
1494,1494,0.09
1850,1850,0.09
1221,1221,0.09
1306,1306,0.09
1877,1877,0.09
1940,1940,0.09
258,258,0.09
257,257,0.09
1384,1384,0.09
1664,1664,0.09
19,19,0.09
686,686,0.09
1657,1657,0.09
236,236,0.09
1039,1039,0.09
685,685,0.09
1369,1369,0.09
1358,1358,0.09
1355,1355,0.09
219,219,0.09
1101,1101,0.09
1329,1329,0.09
209,209,0.09
1644,1644,0.09
1344,1344,0.09
1302,1302,0.09
1847,1847,0.09
352,352,0.09
1989,1989,0.09
739,739,0.09
50,50,0.09
1157,1157,0.09
1820,1820,0.09
366,366,0.09
364,364,0.09
396,396,0.09
360,360,0.09
890,890,0.09
544,544,0.09
1699,1699,0.09
1205,1205,0.09
1170,1170,0.09
891,891,0.09
2021,2021,0.09
335,335,0.09
1540,1540,0.09
1212,1212,0.09
518,518,0.08
1573,1573,0.08
2027,2027,0.08
662,662,0.08
640,640,0.08
1640,1640,0.08
772,772,0.08
1203,1203,0.08
14,14,0.08
537,537,0.08
484,484,0.08
1727,1727,0.08
549,549,0.08
1188,1188,0.08
1595,1595,0.08
1218,1218,0.08
1261,1261,0.08
502,502,0.08
40,40,0.08
1079,1079,0.08
1970,1970,0.08
359,359,0.08
1350,1350,0.08
863,863,0.08
229,229,0.08
404,404,0.08
1899,1899,0.08
1034,1034,0.08
244,244,0.08
893,893,0.08
894,894,0.08
1471,1471,0.08
1385,1385,0.08
1462,1462,0.08
1946,1946,0.08
1175,1175,0.08
913,913,0.08
1138,1138,0.08
1452,1452,0.08
1132,1132,0.08
1972,1972,0.08
1115,1115,0.08
1129,1129,0.08
1967,1967,0.08
1391,1391,0.08
149,149,0.08
1844,1844,0.08
278,278,0.08
1991,1991,0.08
1303,1303,0.08
834,834,0.08
1341,1341,0.08
1777,1777,0.08
441,441,0.08
187,187,0.08
467,467,0.08
815,815,0.08
1534,1534,0.08
1524,1524,0.08
1332,1332,0.08
2045,2045,0.07
1339,1339,0.07
1342,1342,0.07
920,920,0.07
916,916,0.07
125,125,0.07
178,178,0.07
1208,1208,0.07
569,569,0.07
836,836,0.07
602,602,0.07
462,462,0.07
600,600,0.07
942,942,0.07
1222,1222,0.07
943,943,0.07
1246,1246,0.07
1690,1690,0.07
1538,1538,0.07
991,991,0.07
143,143,0.07
716,716,0.07
1408,1408,0.07
1347,1347,0.07
1191,1191,0.07
841,841,0.07
1804,1804,0.07
1792,1792,0.07
521,521,0.07
1057,1057,0.07
765,765,0.07
764,764,0.07
1189,1189,0.07
679,679,0.07
211,211,0.07
418,418,0.07
1580,1580,0.07
1371,1371,0.07
442,442,0.07
293,293,0.07
1496,1496,0.07
389,389,0.07
387,387,0.07
1109,1109,0.07
1196,1196,0.07
1710,1710,0.07
1805,1805,0.07
506,506,0.07
1807,1807,0.07
774,774,0.07
507,507,0.07
664,664,0.07
1950,1950,0.06
1308,1308,0.06
1120,1120,0.06
1096,1096,0.06
628,628,0.06
1258,1258,0.06
268,268,0.06
1324,1324,0.06
1349,1349,0.06
700,700,0.06
699,699,0.06
1224,1224,0.06
692,692,0.06
1094,1094,0.06
665,665,0.06
1317,1317,0.06
1648,1648,0.06
2047,2047,0.06
1927,1927,0.06
1561,1561,0.06
840,840,0.06
1158,1158,0.06
386,386,0.06
2014,2014,0.06
499,499,0.06
1275,1275,0.06
63,63,0.06
1177,1177,0.06
449,449,0.06
1529,1529,0.06
1795,1795,0.06
1722,1722,0.06
119,119,0.06
1834,1834,0.06
930,930,0.06
477,477,0.06
939,939,0.06
858,858,0.06
78,78,0.06
650,650,0.06
322,322,0.06
1536,1536,0.06
721,721,0.06
1428,1428,0.06
956,956,0.06
306,306,0.06
1542,1542,0.06
1421,1421,0.06
505,505,0.06
1572,1572,0.05
1123,1123,0.05
785,785,0.05
656,656,0.05
1179,1179,0.05
1183,1183,0.05
1075,1075,0.05
1376,1376,0.05
1059,1059,0.05
1140,1140,0.05
1419,1419,0.05
719,719,0.05
1600,1600,0.05
724,724,0.05
1436,1436,0.05
1387,1387,0.05
908,908,0.05
907,907,0.05
1030,1030,0.05
1576,1576,0.05
1379,1379,0.05
896,896,0.05
1150,1150,0.05
974,974,0.05
