,Descriptors,Coeff
1160,1160,0.3
935,935,0.25
202,202,0.25
1747,1747,0.24
875,875,0.24
1920,1920,0.22
736,736,0.2
1088,1088,0.2
637,637,0.19
2009,2009,0.19
1803,1803,0.19
1750,1750,0.18
725,725,0.18
1416,1416,0.18
1873,1873,0.18
160,160,0.18
1279,1279,0.17
806,806,0.16
1984,1984,0.16
1390,1390,0.16
795,795,0.15
906,906,0.15
1146,1146,0.15
132,132,0.15
1955,1955,0.15
992,992,0.15
561,561,0.15
1683,1683,0.15
925,925,0.14
931,931,0.14
1504,1504,0.14
1172,1172,0.14
1380,1380,0.14
216,216,0.14
896,896,0.14
889,889,0.14
400,400,0.14
465,465,0.14
1743,1743,0.14
573,573,0.14
1235,1235,0.14
1680,1680,0.13
1691,1691,0.13
1661,1661,0.13
250,250,0.13
475,475,0.13
1817,1817,0.13
1637,1637,0.13
1114,1114,0.13
399,399,0.13
191,191,0.13
384,384,0.13
1199,1199,0.13
1879,1879,0.12
1907,1907,0.12
162,162,0.12
92,92,0.12
289,289,0.12
1692,1692,0.12
609,609,0.12
598,598,0.12
271,271,0.12
1093,1093,0.12
1061,1061,0.12
1964,1964,0.12
582,582,0.12
1954,1954,0.12
242,242,0.12
1712,1712,0.12
1631,1631,0.12
1867,1867,0.12
1152,1152,0.12
1978,1978,0.12
1227,1227,0.12
378,378,0.12
1634,1634,0.12
1352,1352,0.11
34,34,0.11
1527,1527,0.11
1435,1435,0.11
597,597,0.11
1437,1437,0.11
2044,2044,0.11
504,504,0.11
1192,1192,0.11
1993,1993,0.11
1445,1445,0.11
1307,1307,0.11
1518,1518,0.11
1918,1918,0.11
1694,1694,0.11
879,879,0.11
655,655,0.11
542,542,0.11
267,267,0.11
734,734,0.11
25,25,0.11
728,728,0.11
472,472,0.11
1610,1610,0.11
1155,1155,0.11
1070,1070,0.11
1068,1068,0.11
86,86,0.11
1980,1980,0.1
689,689,0.1
1715,1715,0.1
750,750,0.1
732,732,0.1
1263,1263,0.1
647,647,0.1
811,811,0.1
650,650,0.1
1669,1669,0.1
586,586,0.1
860,860,0.1
2039,2039,0.1
154,154,0.1
1686,1686,0.1
901,901,0.1
281,281,0.1
558,558,0.1
945,945,0.1
480,480,0.1
1295,1295,0.1
1033,1033,0.1
1754,1754,0.1
1025,1025,0.1
1756,1756,0.1
412,412,0.1
10,10,0.1
1454,1454,0.1
369,369,0.1
1181,1181,0.1
11,11,0.1
76,76,0.1
526,526,0.1
1285,1285,0.1
997,997,0.1
117,117,0.1
1131,1131,0.1
1825,1825,0.1
488,488,0.1
1765,1765,0.1
1062,1062,0.1
121,121,0.1
1153,1153,0.1
1063,1063,0.1
989,989,0.09
1779,1779,0.09
867,867,0.09
864,864,0.09
885,885,0.09
1894,1894,0.09
2010,2010,0.09
1546,1546,0.09
851,851,0.09
848,848,0.09
648,648,0.09
2008,2008,0.09
1335,1335,0.09
1334,1334,0.09
58,58,0.09
769,769,0.09
763,763,0.09
1583,1583,0.09
1623,1623,0.09
36,36,0.09
1039,1039,0.09
38,38,0.09
964,964,0.09
108,108,0.09
1469,1469,0.09
560,560,0.09
924,924,0.09
911,911,0.09
909,909,0.09
497,497,0.09
156,156,0.09
129,129,0.09
1748,1748,0.09
1000,1000,0.09
1499,1499,0.09
315,315,0.09
984,984,0.09
1530,1530,0.09
376,376,0.08
570,570,0.08
1821,1821,0.08
1233,1233,0.08
1264,1264,0.08
731,731,0.08
1912,1912,0.08
377,377,0.08
700,700,0.08
743,743,0.08
389,389,0.08
1916,1916,0.08
527,527,0.08
1234,1234,0.08
666,666,0.08
1704,1704,0.08
358,358,0.08
490,490,0.08
1774,1774,0.08
1854,1854,0.08
352,352,0.08
336,336,0.08
1253,1253,0.08
1671,1671,0.08
1799,1799,0.08
1301,1301,0.08
1245,1245,0.08
1702,1702,0.08
420,420,0.08
1844,1844,0.08
1659,1659,0.08
661,661,0.08
1310,1310,0.08
668,668,0.08
688,688,0.08
531,531,0.08
1363,1363,0.08
816,816,0.08
1473,1473,0.08
799,799,0.08
91,91,0.08
1427,1427,0.08
1429,1429,0.08
1044,1044,0.08
1009,1009,0.08
850,850,0.08
1486,1486,0.08
1929,1929,0.08
877,877,0.08
957,957,0.08
943,943,0.08
1917,1917,0.08
168,168,0.08
936,936,0.08
1511,1511,0.08
203,203,0.08
155,155,0.08
1617,1617,0.08
1127,1127,0.08
66,66,0.08
1381,1381,0.08
1361,1361,0.08
1928,1928,0.08
1405,1405,0.07
1281,1281,0.07
1731,1731,0.07
317,317,0.07
1185,1185,0.07
1718,1718,0.07
404,404,0.07
1494,1494,0.07
569,569,0.07
2017,2017,0.07
535,535,0.07
1170,1170,0.07
1262,1262,0.07
574,574,0.07
1970,1970,0.07
50,50,0.07
143,143,0.07
590,590,0.07
537,537,0.07
993,993,0.07
366,366,0.07
1056,1056,0.07
1359,1359,0.07
1413,1413,0.07
1270,1270,0.07
468,468,0.07
83,83,0.07
476,476,0.07
2003,2003,0.07
1800,1800,0.07
341,341,0.07
1052,1052,0.07
433,433,0.07
592,592,0.07
2000,2000,0.07
1432,1432,0.07
1385,1385,0.07
1442,1442,0.07
1016,1016,0.07
328,328,0.07
511,511,0.07
69,69,0.07
1620,1620,0.07
1501,1501,0.07
383,383,0.07
633,633,0.07
1896,1896,0.07
1667,1667,0.07
1574,1574,0.07
1936,1936,0.07
1584,1584,0.07
255,255,0.07
1901,1901,0.07
1647,1647,0.07
197,197,0.07
198,198,0.07
1931,1931,0.07
690,690,0.07
704,704,0.07
709,709,0.07
710,710,0.07
1589,1589,0.07
1594,1594,0.07
27,27,0.07
793,793,0.07
234,234,0.07
1596,1596,0.07
789,789,0.07
226,226,0.07
842,842,0.07
1291,1291,0.07
861,861,0.07
887,887,0.07
603,603,0.07
285,285,0.07
31,31,0.07
1675,1675,0.07
1946,1946,0.07
612,612,0.07
1688,1688,0.06
713,713,0.06
1206,1206,0.06
455,455,0.06
891,891,0.06
461,461,0.06
419,419,0.06
416,416,0.06
415,415,0.06
1205,1205,0.06
1123,1123,0.06
1529,1529,0.06
1602,1602,0.06
1820,1820,0.06
1607,1607,0.06
741,741,0.06
1132,1132,0.06
395,395,0.06
774,774,0.06
1138,1138,0.06
1157,1157,0.06
1347,1347,0.06
1147,1147,0.06
1175,1175,0.06
800,800,0.06
987,987,0.06
1722,1722,0.06
1462,1462,0.06
1542,1542,0.06
1745,1745,0.06
1014,1014,0.06
1249,1249,0.06
1573,1573,0.06
507,507,0.06
980,980,0.06
1439,1439,0.06
819,819,0.06
1247,1247,0.06
494,494,0.06
1524,1524,0.06
562,562,0.06
1676,1676,0.06
557,557,0.06
1221,1221,0.06
1678,1678,0.06
484,484,0.06
559,559,0.06
1208,1208,0.06
1189,1189,0.06
1533,1533,0.06
1074,1074,0.06
1355,1355,0.06
1776,1776,0.06
596,596,0.06
1663,1663,0.06
2021,2021,0.06
1914,1914,0.06
1945,1945,0.06
95,95,0.06
