,Descriptors,Coeff
1160,1160,0.175
1964,1964,0.175
310,310,0.116
202,202,0.107
1070,1070,0.1
736,736,0.1
1747,1747,0.099
160,160,0.091
1088,1088,0.089
1683,1683,0.088
637,637,0.088
561,561,0.086
1920,1920,0.075
1000,1000,0.073
597,597,0.072
2009,2009,0.071
1955,1955,0.071
875,875,0.071
1416,1416,0.069
465,465,0.069
377,377,0.068
992,992,0.068
1199,1199,0.068
935,935,0.067
1279,1279,0.067
1803,1803,0.066
216,216,0.066
1984,1984,0.065
1617,1617,0.064
945,945,0.064
132,132,0.064
906,906,0.063
743,743,0.062
1743,1743,0.062
725,725,0.059
1546,1546,0.059
1390,1390,0.059
1146,1146,0.058
1596,1596,0.058
430,430,0.058
191,191,0.057
384,384,0.057
795,795,0.056
1399,1399,0.055
92,92,0.055
816,816,0.055
1896,1896,0.054
2044,2044,0.053
931,931,0.053
1972,1972,0.052
1817,1817,0.052
400,400,0.052
480,480,0.052
267,267,0.052
582,582,0.052
925,925,0.051
754,754,0.051
1563,1563,0.051
1765,1765,0.051
1610,1610,0.051
271,271,0.051
1907,1907,0.05
504,504,0.05
1245,1245,0.048
1867,1867,0.048
1661,1661,0.048
573,573,0.048
609,609,0.048
1235,1235,0.048
1518,1518,0.048
1940,1940,0.047
162,162,0.046
1181,1181,0.046
1574,1574,0.046
1756,1756,0.046
624,624,0.046
107,107,0.046
1352,1352,0.046
1381,1381,0.046
860,860,0.046
1332,1332,0.045
40,40,0.045
329,329,0.045
1056,1056,0.045
1263,1263,0.045
1068,1068,0.044
1192,1192,0.044
1435,1435,0.044
542,542,0.044
799,799,0.044
399,399,0.044
1680,1680,0.044
806,806,0.043
864,864,0.043
295,295,0.043
289,289,0.043
168,168,0.043
1107,1107,0.043
376,376,0.043
511,511,0.043
1006,1006,0.043
1454,1454,0.043
1131,1131,0.043
535,535,0.042
689,689,0.042
1978,1978,0.042
1473,1473,0.042
1694,1694,0.042
1093,1093,0.042
498,498,0.041
1583,1583,0.041
1427,1427,0.041
1437,1437,0.041
273,273,0.041
475,475,0.041
1667,1667,0.041
1755,1755,0.04
750,750,0.04
989,989,0.04
1468,1468,0.04
648,648,0.04
889,889,0.04
11,11,0.04
76,76,0.04
1873,1873,0.04
1879,1879,0.04
1854,1854,0.04
732,732,0.039
488,488,0.039
494,494,0.039
86,86,0.038
2000,2000,0.038
1504,1504,0.038
1914,1914,0.038
1198,1198,0.038
870,870,0.038
590,590,0.038
1335,1335,0.038
1418,1418,0.038
558,558,0.037
1334,1334,0.037
1114,1114,0.037
741,741,0.037
1074,1074,0.037
1631,1631,0.037
250,250,0.037
1763,1763,0.037
1894,1894,0.037
728,728,0.036
1155,1155,0.036
1584,1584,0.036
97,97,0.036
1697,1697,0.036
1233,1233,0.036
395,395,0.036
1754,1754,0.036
2010,2010,0.036
1912,1912,0.036
997,997,0.036
1691,1691,0.035
1495,1495,0.035
278,278,0.035
154,154,0.035
1499,1499,0.035
1486,1486,0.035
1227,1227,0.035
612,612,0.035
1662,1662,0.035
800,800,0.034
205,205,0.034
1731,1731,0.034
1715,1715,0.034
713,713,0.034
348,348,0.034
1704,1704,0.034
1147,1147,0.034
964,964,0.034
1432,1432,0.033
867,867,0.033
1887,1887,0.033
1750,1750,0.033
901,901,0.033
1221,1221,0.033
1152,1152,0.033
472,472,0.033
578,578,0.033
155,155,0.033
1982,1982,0.032
1954,1954,0.032
1307,1307,0.032
25,25,0.032
690,690,0.032
1347,1347,0.032
1774,1774,0.032
1062,1062,0.032
1637,1637,0.032
38,38,0.032
242,242,0.032
1594,1594,0.032
1206,1206,0.032
687,687,0.032
10,10,0.032
1442,1442,0.032
66,66,0.032
108,108,0.032
117,117,0.031
1469,1469,0.031
913,913,0.031
129,129,0.031
1993,1993,0.031
1917,1917,0.031
1960,1960,0.031
336,336,0.031
570,570,0.031
1531,1531,0.031
731,731,0.031
1380,1380,0.031
1295,1295,0.031
2011,2011,0.031
1931,1931,0.031
527,527,0.031
91,91,0.03
1989,1989,0.03
2015,2015,0.03
887,887,0.03
1172,1172,0.03
211,211,0.03
655,655,0.03
879,879,0.03
1669,1669,0.03
34,34,0.03
1063,1063,0.03
848,848,0.03
167,167,0.03
1852,1852,0.03
1264,1264,0.029
1647,1647,0.029
531,531,0.029
534,534,0.029
851,851,0.029
1678,1678,0.029
1586,1586,0.029
1180,1180,0.029
341,341,0.029
1936,1936,0.029
1095,1095,0.029
739,739,0.029
1251,1251,0.029
1061,1061,0.029
1132,1132,0.029
890,890,0.029
358,358,0.029
709,709,0.029
704,704,0.029
1234,1234,0.029
1301,1301,0.029
1033,1033,0.029
378,378,0.029
1820,1820,0.028
285,285,0.028
1688,1688,0.028
855,855,0.028
1254,1254,0.028
1686,1686,0.028
102,102,0.028
1573,1573,0.028
1358,1358,0.028
412,412,0.028
1712,1712,0.028
433,433,0.028
2039,2039,0.028
497,497,0.028
328,328,0.028
69,69,0.028
772,772,0.028
330,330,0.028
861,861,0.027
916,916,0.027
1317,1317,0.027
1141,1141,0.027
1475,1475,0.027
793,793,0.027
1534,1534,0.027
1676,1676,0.027
936,936,0.027
557,557,0.027
850,850,0.027
1462,1462,0.027
1009,1009,0.027
668,668,0.027
661,661,0.027
2003,2003,0.027
647,647,0.027
383,383,0.027
1844,1844,0.027
909,909,0.026
326,326,0.026
586,586,0.026
385,385,0.026
360,360,0.026
396,396,0.026
1939,1939,0.026
779,779,0.026
716,716,0.026
490,490,0.026
427,427,0.026
1350,1350,0.026
1429,1429,0.026
1014,1014,0.026
1795,1795,0.026
685,685,0.026
1291,1291,0.026
281,281,0.026
1648,1648,0.026
2008,2008,0.026
372,372,0.026
1275,1275,0.025
1530,1530,0.025
203,203,0.025
559,559,0.025
702,702,0.025
662,662,0.025
420,420,0.025
1262,1262,0.025
46,46,0.025
877,877,0.025
977,977,0.025
387,387,0.024
688,688,0.024
727,727,0.024
468,468,0.024
1825,1825,0.024
602,602,0.024
1452,1452,0.024
293,293,0.024
1980,1980,0.024
1341,1341,0.024
982,982,0.024
198,198,0.024
2033,2033,0.024
1127,1127,0.024
1408,1408,0.024
1208,1208,0.024
215,215,0.024
2002,2002,0.024
1153,1153,0.024
1856,1856,0.023
1455,1455,0.023
83,83,0.023
36,36,0.023
1718,1718,0.023
1157,1157,0.023
1329,1329,0.023
763,763,0.023
827,827,0.023
1258,1258,0.023
486,486,0.023
521,521,0.023
156,156,0.023
1285,1285,0.023
911,911,0.023
324,324,0.023
834,834,0.023
598,598,0.023
1118,1118,0.023
1017,1017,0.022
240,240,0.022
241,241,0.022
569,569,0.022
811,811,0.022
1555,1555,0.022
1324,1324,0.022
1413,1413,0.022
526,526,0.022
1576,1576,0.022
1209,1209,0.022
710,710,0.022
1634,1634,0.022
1929,1929,0.022
455,455,0.022
656,656,0.022
1405,1405,0.022
1607,1607,0.022
1212,1212,0.022
144,144,0.022
1847,1847,0.022
2031,2031,0.022
22,22,0.022
846,846,0.022
1659,1659,0.022
734,734,0.021
317,317,0.021
1517,1517,0.021
467,467,0.021
880,880,0.021
1868,1868,0.021
1185,1185,0.021
643,643,0.021
1270,1270,0.021
894,894,0.021
2035,2035,0.021
1908,1908,0.021
18,18,0.021
416,416,0.021
1196,1196,0.021
257,257,0.021
518,518,0.021
1158,1158,0.021
1870,1870,0.021
1001,1001,0.021
244,244,0.021
506,506,0.021
628,628,0.02
1079,1079,0.02
386,386,0.02
764,764,0.02
924,924,0.02
181,181,0.02
1089,1089,0.02
1702,1702,0.02
1084,1084,0.02
1102,1102,0.02
596,596,0.02
505,505,0.02
1658,1658,0.02
1303,1303,0.02
209,209,0.02
1030,1030,0.02
633,633,0.02
226,226,0.02
43,43,0.02
686,686,0.02
1967,1967,0.019
