,Descriptors,Coeff
1160,1160,0.173
1964,1964,0.167
310,310,0.127
202,202,0.115
736,736,0.109
1070,1070,0.101
1747,1747,0.096
1088,1088,0.095
561,561,0.084
1683,1683,0.082
160,160,0.078
637,637,0.077
725,725,0.073
1199,1199,0.072
1000,1000,0.071
1416,1416,0.07
875,875,0.068
1920,1920,0.067
1743,1743,0.066
597,597,0.066
906,906,0.065
992,992,0.065
430,430,0.064
1955,1955,0.064
216,216,0.063
1803,1803,0.062
2009,2009,0.062
191,191,0.061
935,935,0.061
1146,1146,0.06
945,945,0.06
1399,1399,0.059
1984,1984,0.058
1279,1279,0.057
925,925,0.056
132,132,0.055
1972,1972,0.054
1978,1978,0.054
816,816,0.052
743,743,0.052
400,400,0.051
1499,1499,0.05
889,889,0.049
609,609,0.049
1610,1610,0.049
1867,1867,0.048
271,271,0.048
1617,1617,0.048
92,92,0.047
1817,1817,0.047
795,795,0.047
1940,1940,0.047
1546,1546,0.047
1669,1669,0.046
1285,1285,0.046
1310,1310,0.045
648,648,0.045
162,162,0.045
504,504,0.045
1896,1896,0.045
542,542,0.044
1352,1352,0.044
624,624,0.044
1691,1691,0.044
806,806,0.043
465,465,0.043
86,86,0.043
488,488,0.043
860,860,0.043
384,384,0.042
399,399,0.042
1068,1068,0.042
931,931,0.042
1907,1907,0.042
1390,1390,0.042
1694,1694,0.042
1131,1131,0.041
1879,1879,0.041
1006,1006,0.041
728,728,0.041
25,25,0.041
377,377,0.041
1912,1912,0.041
250,250,0.041
1661,1661,0.041
1155,1155,0.04
709,709,0.04
1916,1916,0.04
1381,1381,0.04
295,295,0.04
864,864,0.04
879,879,0.04
1596,1596,0.04
480,480,0.04
36,36,0.039
1583,1583,0.039
989,989,0.039
1093,1093,0.039
2010,2010,0.039
573,573,0.039
289,289,0.039
1061,1061,0.039
273,273,0.039
1468,1468,0.039
1755,1755,0.038
1114,1114,0.038
1044,1044,0.038
997,997,0.038
799,799,0.038
1584,1584,0.038
1152,1152,0.037
1437,1437,0.037
887,887,0.037
1454,1454,0.037
376,376,0.037
535,535,0.037
2044,2044,0.037
1227,1227,0.037
1192,1192,0.037
1074,1074,0.037
1750,1750,0.037
1335,1335,0.037
1181,1181,0.037
1574,1574,0.037
475,475,0.037
1062,1062,0.037
1307,1307,0.037
1486,1486,0.036
58,58,0.036
1198,1198,0.036
1334,1334,0.036
1245,1245,0.036
1825,1825,0.036
1263,1263,0.036
76,76,0.035
1594,1594,0.035
1469,1469,0.035
1756,1756,0.035
1704,1704,0.035
1917,1917,0.035
1361,1361,0.035
909,909,0.035
369,369,0.035
1418,1418,0.035
11,11,0.035
1435,1435,0.035
1873,1873,0.034
154,154,0.034
1936,1936,0.034
1715,1715,0.034
91,91,0.034
1249,1249,0.034
1914,1914,0.033
870,870,0.033
558,558,0.033
1127,1127,0.033
420,420,0.033
1056,1056,0.033
40,40,0.033
1518,1518,0.033
1291,1291,0.033
732,732,0.033
590,590,0.033
1779,1779,0.033
1251,1251,0.032
242,242,0.032
1754,1754,0.032
1637,1637,0.032
689,689,0.032
129,129,0.032
1774,1774,0.032
267,267,0.032
1504,1504,0.032
1939,1939,0.031
511,511,0.031
155,155,0.031
83,83,0.031
1473,1473,0.031
10,10,0.031
582,582,0.031
168,168,0.03
779,779,0.03
531,531,0.03
1235,1235,0.03
750,750,0.03
1172,1172,0.03
378,378,0.03
1258,1258,0.03
383,383,0.03
1295,1295,0.03
1894,1894,0.03
713,713,0.03
655,655,0.03
861,861,0.03
1206,1206,0.03
2008,2008,0.029
2011,2011,0.029
901,901,0.029
924,924,0.029
2033,2033,0.029
964,964,0.029
1301,1301,0.029
1680,1680,0.029
1676,1676,0.029
1429,1429,0.029
1442,1442,0.029
278,278,0.029
416,416,0.029
1009,1009,0.029
1852,1852,0.029
1887,1887,0.029
1261,1261,0.029
1432,1432,0.029
570,570,0.029
661,661,0.029
1765,1765,0.029
1954,1954,0.029
66,66,0.028
226,226,0.028
1960,1960,0.028
2000,2000,0.028
800,800,0.028
984,984,0.028
1688,1688,0.028
2003,2003,0.028
1634,1634,0.028
848,848,0.028
97,97,0.028
741,741,0.027
1057,1057,0.027
793,793,0.027
358,358,0.027
1141,1141,0.027
108,108,0.027
772,772,0.027
668,668,0.027
348,348,0.027
559,559,0.027
685,685,0.027
1623,1623,0.027
612,612,0.027
734,734,0.027
1659,1659,0.027
704,704,0.027
1989,1989,0.027
936,936,0.027
1931,1931,0.027
851,851,0.026
1589,1589,0.026
317,317,0.026
1063,1063,0.026
1534,1534,0.026
647,647,0.026
19,19,0.026
1647,1647,0.026
1990,1990,0.026
341,341,0.026
1686,1686,0.026
1531,1531,0.026
1303,1303,0.026
690,690,0.025
336,336,0.025
69,69,0.025
518,518,0.025
549,549,0.025
836,836,0.025
156,156,0.025
285,285,0.025
727,727,0.025
281,281,0.025
1555,1555,0.025
1358,1358,0.025
1253,1253,0.025
1275,1275,0.025
1341,1341,0.025
255,255,0.025
885,885,0.025
1329,1329,0.025
1631,1631,0.025
329,329,0.025
1586,1586,0.025
1731,1731,0.025
534,534,0.025
1530,1530,0.025
850,850,0.024
867,867,0.024
330,330,0.024
863,863,0.024
412,412,0.024
1748,1748,0.024
855,855,0.024
993,993,0.024
324,324,0.024
1702,1702,0.024
1014,1014,0.024
102,102,0.024
1455,1455,0.024
497,497,0.024
205,205,0.024
490,490,0.024
1712,1712,0.024
913,913,0.024
1262,1262,0.024
1033,1033,0.024
1718,1718,0.024
427,427,0.024
1270,1270,0.024
1153,1153,0.024
472,472,0.023
38,38,0.023
1323,1323,0.023
34,34,0.023
890,890,0.023
1212,1212,0.023
1016,1016,0.023
688,688,0.023
1233,1233,0.023
815,815,0.023
1807,1807,0.023
395,395,0.023
1147,1147,0.023
980,980,0.023
812,812,0.023
1540,1540,0.023
433,433,0.023
1052,1052,0.023
167,167,0.022
1034,1034,0.022
498,498,0.022
2031,2031,0.022
1380,1380,0.022
1079,1079,0.022
1132,1132,0.022
1799,1799,0.022
1850,1850,0.022
574,574,0.022
456,456,0.022
1745,1745,0.022
1413,1413,0.022
1494,1494,0.022
763,763,0.022
46,46,0.022
1384,1384,0.021
22,22,0.021
731,731,0.021
437,437,0.021
1667,1667,0.021
442,442,0.021
1385,1385,0.021
1856,1856,0.021
1671,1671,0.021
1302,1302,0.021
1306,1306,0.021
600,600,0.021
1953,1953,0.021
1517,1517,0.021
197,197,0.021
1185,1185,0.021
107,107,0.021
1527,1527,0.021
1180,1180,0.021
181,181,0.021
117,117,0.021
1471,1471,0.021
1462,1462,0.021
1234,1234,0.021
1901,1901,0.02
1607,1607,0.02
1833,1833,0.02
1159,1159,0.02
2039,2039,0.02
1411,1411,0.02
1993,1993,0.02
1980,1980,0.02
62,62,0.02
455,455,0.02
1576,1576,0.02
1317,1317,0.02
1800,1800,0.02
1697,1697,0.02
1868,1868,0.02
486,486,0.02
241,241,0.02
1945,1945,0.02
586,586,0.02
209,209,0.02
1231,1231,0.019
1120,1120,0.019
1511,1511,0.019
1573,1573,0.019
739,739,0.019
1157,1157,0.019
1804,1804,0.019
562,562,0.019
1264,1264,0.019
240,240,0.019
1795,1795,0.019
526,526,0.019
257,257,0.019
789,789,0.019
462,462,0.019
244,244,0.019
1678,1678,0.019
1405,1405,0.019
2002,2002,0.019
598,598,0.019
2005,2005,0.019
1203,1203,0.019
1372,1372,0.019
1209,1209,0.019
1218,1218,0.019
1870,1870,0.019
957,957,0.019
686,686,0.018
1188,1188,0.018
1039,1039,0.018
710,710,0.018
987,987,0.018
234,234,0.018
1196,1196,0.018
194,194,0.018
939,939,0.018
468,468,0.018
893,893,0.018
1073,1073,0.018
